ServiceName                                              Action                                                                           AccessLevel             Description
AWS IAM Access Analyzer                                  access-analyzer:ListAnalyzedResources                                            Read                    Grants permission to retrieve a list of resources that have been analyzed
AWS IAM Access Analyzer                                  access-analyzer:ListAnalyzers                                                    List                    Grants permission to retrieves a list of analyzers
AWS IAM Access Analyzer                                  access-analyzer:ListArchiveRules                                                 List                    Grants permission to retrieve a list of archive rules from an analyzer
AWS IAM Access Analyzer                                  access-analyzer:ListFindings                                                     Read                    Grants permission to retrieve a list of findings from an analyzer
AWS IAM Access Analyzer                                  access-analyzer:ListPolicyGenerations                                            Read                    Grants permission to list all the recently started policy generations
AWS IAM Access Analyzer                                  access-analyzer:ListTagsForResource                                              Read                    Grants permission to retrieve a list of tags applied to a resource
AWS IAM Access Analyzer                                  access-analyzer:StartPolicyGeneration                                            Write                   Grants permission to start a policy generation
AWS IAM Access Analyzer                                  access-analyzer:StartResourceScan                                                Write                   Grants permission to start a scan of the policies applied to a resource
AWS IAM Access Analyzer                                  access-analyzer:TagResource                                                      Tagging                 Grants permission to add a tag to a resource
AWS IAM Access Analyzer                                  access-analyzer:UntagResource                                                    Tagging                 Grants permission to remove a tag from a resource
AWS IAM Access Analyzer                                  access-analyzer:UpdateArchiveRule                                                Write                   Grants permission to modify an archive rule
AWS IAM Access Analyzer                                  access-analyzer:UpdateFindings                                                   Write                   Grants permission to modify findings
AWS IAM Access Analyzer                                  access-analyzer:ValidatePolicy                                                   Read                    Grants permission to validate a policy
AWS Account Management                                   account:AcceptPrimaryEmailUpdate                                                 Write                   Grants permission to accept the process to update the primary email address of an account
AWS Account Management                                   account:CloseAccount                                                             Write                   Grants permission to close an account
AWS Account Management                                   account:DeleteAlternateContact                                                   Write                   Grants permission to delete the alternate contacts for an account
AWS Account Management                                   account:DisableRegion                                                            Write                   Grants permission to disable use of a Region
AWS Account Management                                   account:EnableRegion                                                             Write                   Grants permission to enable use of a Region
AWS Account Management                                   account:GetAccountInformation                                                    Read                    Grants permission to retrieve the account information for an account
AWS Account Management                                   account:GetAlternateContact                                                      Read                    Grants permission to retrieve the alternate contacts for an account
AWS Account Management                                   account:GetChallengeQuestions                                                    Read                    Grants permission to retrieve the challenge questions for an account
AWS Account Management                                   account:GetContactInformation                                                    Read                    Grants permission to retrieve the primary contact information for an account
AWS Account Management                                   account:GetPrimaryEmail                                                          Read                    Grants permission to retrieve the primary email address of an account
AWS Account Management                                   account:GetRegionOptStatus                                                       Read                    Grants permission to get the opt-in status of a Region
AWS Account Management                                   account:ListRegions                                                              List                    Grants permission to list the available Regions
AWS Account Management                                   account:PutAlternateContact                                                      Write                   Grants permission to modify the alternate contacts for an account
AWS Account Management                                   account:PutChallengeQuestions                                                    Write                   Grants permission to modify the challenge questions for an account
AWS Account Management                                   account:PutContactInformation                                                    Write                   Grants permission to update the primary contact information for an account
AWS Account Management                                   account:StartPrimaryEmailUpdate                                                  Write                   Grants permission to start the process to update the primary email address of an account
AWS Certificate Manager                                  acm:AddTagsToCertificate                                                         Tagging                 Grants permission to add one or more tags to a certificate
